time_received,agency,dispatch_area,unit,call_type,location,status
07/04/2026 21:50,RFD,FIRE,T6,"# ASSIST EMS , FORCIBLE ENTRY",1700-BLK BELLEVUE AVE,Enroute
07/04/2026 21:50,RFD,FIRE,T6,"# ASSIST EMS , FORCIBLE ENTRY",1700-BLK BELLEVUE AVE,Arrived
07/04/2026 21:50,RFD,FIRE,E14,"# ASSIST EMS , FORCIBLE ENTRY",1700-BLK BELLEVUE AVE,Enroute
07/04/2026 22:01,RFD,FIRE,E1,"# BRUSH FIRE , GRASS",PEAR ST/E MAIN ST RICH,Arrived
07/04/2026 22:01,RFD,FIRE,E1,"# BRUSH FIRE , GRASS",PEAR ST/E MAIN ST RICH,Enroute
07/04/2026 22:02,RFD,FIRE,E24,"# TRASH FIRE , DUMPSTER",2600-BLK GRANITE HILL CIR,Enroute
07/04/2026 21:48,RFD,FIRE,E16,"# UTILITY INCIDENT , TRANSFORMER FIRE",4800-BLK E SEMINARY AVE,Arrived
07/04/2026 21:48,RFD,FIRE,E16,"# UTILITY INCIDENT , TRANSFORMER FIRE",4800-BLK E SEMINARY AVE,Enroute
07/04/2026 21:58,RPD,Precinct 2,212A7,"ASSIST - OTHER AGENCY OR CALLER , CITIZEN",4600-BLK HAWORTH RD,Enroute
07/04/2026 21:39,RPD,Precinct 1,C3063,"ASSIST - OTHER AGENCY OR CALLER , OTHER AGENCY OR DEPARTMENT",BROWNS ISLAND WAY/TREDEGAR ST RICH,Arrived
07/04/2026 21:39,RPD,Precinct 1,C3063,"ASSIST - OTHER AGENCY OR CALLER , OTHER AGENCY OR DEPARTMENT",BROWNS ISLAND WAY/TREDEGAR ST RICH,Dispatched
07/04/2026 21:50,RPD,Precinct 4,411B7,"ASSIST FIRE DEPARTMENT , NON-EMERGENCY",1700-BLK BELLEVUE AVE,Enroute
07/04/2026 21:50,RPD,Precinct 4,411B7,"ASSIST FIRE DEPARTMENT , NON-EMERGENCY",1700-BLK BELLEVUE AVE,Dispatched
07/04/2026 21:40,RPD,Precinct 3,312A5,"ASSIST FIRE DEPARTMENT , TRAFFIC AND/OR CROWD CONTROL",6000-BLK GLENWAY CT,Arrived
07/04/2026 21:56,RFD,FIRE,E21,"CRASH , HAZARD CONTROL",3200-BLK CULLENWOOD DR,Arrived
07/04/2026 21:56,RFD,FIRE,E21,"CRASH , HAZARD CONTROL",3200-BLK CULLENWOOD DR,Enroute
07/04/2026 22:00,RFD,FIRE,E6,"CRASH , HAZARD CONTROL",N HAMILTON ST/W BROAD ST RICH,Enroute
07/04/2026 22:00,RFD,FIRE,E6,"CRASH , HAZARD CONTROL",N HAMILTON ST/W BROAD ST RICH,Arrived
07/04/2026 21:56,RPD,Precinct 2,213C9,"CRASH , PERSONAL INJURY",3200-BLK CULLENWOOD DR,Enroute
07/04/2026 21:56,RPD,Precinct 2,206,"CRASH , PERSONAL INJURY",3200-BLK CULLENWOOD DR,Arrived
07/04/2026 21:57,RPD,Precinct 4,412A5,"CRASH , PERSONAL INJURY",3800-BLK W BROAD ST,Enroute
07/04/2026 21:57,RPD,Precinct 4,311B5,"CRASH , PERSONAL INJURY",3800-BLK W BROAD ST,Dispatched
07/04/2026 21:57,RPD,Precinct 4,311B5,"CRASH , PERSONAL INJURY",3800-BLK W BROAD ST,Arrived
07/04/2026 22:00,RPD,Precinct 3,311B5,"CRASH , PERSONAL INJURY",N HAMILTON ST/W BROAD ST RICH,Arrived
07/04/2026 22:00,RPD,Precinct 3,311B6,"CRASH , PERSONAL INJURY",N HAMILTON ST/W BROAD ST RICH,Enroute
07/04/2026 21:25,RPD,Precinct 4,412B7,"CRASH , PROPERTY DAMAGE",1300-BLK N ARTHUR ASHE BLVD,Arrived
07/04/2026 21:57,RPD,Precinct 4,412A5,"CRASH , PROPERTY DAMAGE",3800-BLK W BROAD ST,Enroute
07/04/2026 20:06,RPD,Precinct 2,211B4,"CRASH , PROPERTY DAMAGE",SWANSBORO LN/HULL ST RICH,Arrived
